movie_id,movie_title,release_date,video_release_date,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Babyfever (1994),01-Jan-1994,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Money Train (1995),01-Jan-1995,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Good Man in Africa, A (1994)",01-Jan-1994,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vertigo (1958),01-Jan-1958,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,Paris Is Burning (1990),01-Jan-1990,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,"Hour of the Pig, The (1993)",01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,"Clockwork Orange, A (1971)",01-Jan-1971,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Beyond Rangoon (1995),01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Hugo Pool (1997),01-Jan-1997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,"Farewell to Arms, A (1932)",01-Jan-1932,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11,Audrey Rose (1977),01-Jan-1977,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Full Speed (1996),01-Jan-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,"Program, The (1993)",01-Jan-1993,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Career Girls (1997),08-Aug-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,Beautiful Girls (1996),09-Feb-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,Live Nude Girls (1995),01-Mar-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Jingle All the Way (1996),22-Nov-1996,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Being There (1979),01-Jan-1979,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Highlander (1986),01-Jan-1986,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Afterglow (1997),26-Dec-1997,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,"Substitute, The (1996)",19-Apr-1996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Some Folks Call It a Sling Blade (1993),01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,Apt Pupil (1998),23-Oct-1998,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,Unforgiven (1992),01-Jan-1992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Living in Oblivion (1995),01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
