"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_34,2.0
1_94,3.0
1_243,4.0
1_277,3.0
1_335,1.0
1_442,2.0
1_567,1.0
1_618,4.0
1_750,1.0
1_837,5.0
1_839,4.0
1_963,3.0
1_977,4.0
1_1146,3.0
1_1224,5.0
1_1232,1.0
1_1281,5.0
1_1284,1.0
1_1288,2.0
1_1382,4.0
1_1399,4.0
1_1449,1.0
1_1452,1.0
1_1486,1.0
1_1498,3.0
2_14,3.0
2_56,2.0
2_285,4.0
2_441,3.0
2_1048,2.0
2_1119,2.0
2_1192,4.0
2_1310,4.0
2_1409,1.0
3_512,1.0
3_552,5.0
3_578,3.0
3_1050,1.0
3_1489,3.0
4_242,5.0
4_247,3.0
4_265,1.0
4_386,2.0
4_409,2.0
4_571,2.0
4_580,4.0
4_626,2.0
4_707,1.0
4_971,5.0
4_1086,3.0
4_1177,4.0
4_1192,1.0
4_1229,1.0
4_1307,3.0
4_1325,5.0
4_1331,1.0
4_1382,2.0
4_1398,2.0
4_1409,1.0
4_1510,5.0
5_130,4.0
5_390,3.0
5_408,4.0
5_485,5.0
5_595,3.0
5_858,4.0
5_878,1.0
5_1166,1.0
5_1252,2.0
5_1373,3.0
5_1481,4.0
6_81,1.0
6_403,1.0
6_532,2.0
6_878,1.0
6_886,3.0
6_1489,2.0
7_56,2.0
7_319,2.0
7_322,2.0
7_341,3.0
7_345,1.0
7_502,4.0
7_512,5.0
7_591,3.0
7_812,2.0
7_1043,3.0
7_1061,1.0
7_1152,2.0
7_1165,2.0
7_1217,3.0
7_1280,1.0
7_1325,4.0
7_1522,4.0
8_80,3.0
8_224,1.0
8_512,1.0
8_707,1.0
8_886,4.0
8_1048,2.0
8_1471,4.0
8_1521,3.0
9_39,2.0
9_54,4.0
9_66,5.0
9_81,2.0
9_83,2.0
9_134,5.0
9_225,3.0
9_232,5.0
9_235,3.0
9_242,5.0
9_254,2.0
9_277,4.0
9_306,5.0
9_313,5.0
9_327,5.0
9_341,5.0
9_348,4.0
9_409,3.0
9_431,4.0
9_451,5.0
9_454,5.0
9_457,2.0
9_490,5.0
9_503,2.0
9_518,2.0
9_621,3.0
9_645,2.0
9_705,2.0
9_726,1.0
9_739,2.0
9_746,5.0
9_767,4.0
9_800,5.0
9_890,2.0
9_892,4.0
9_901,3.0
9_911,3.0
9_991,2.0
9_1022,5.0
9_1050,1.0
9_1090,2.0
9_1141,2.0
9_1305,4.0
9_1318,3.0
9_1357,5.0
9_1361,4.0
9_1370,5.0
9_1381,4.0
9_1388,5.0
9_1399,4.0
9_1425,4.0
9_1457,3.0
9_1498,4.0
9_1522,4.0
9_1541,4.0
10_91,5.0
10_202,5.0
10_327,5.0
10_340,5.0
10_344,5.0
10_403,1.0
10_408,5.0
10_419,1.0
10_422,3.0
10_433,2.0
10_451,5.0
10_693,4.0
10_787,5.0
10_807,1.0
10_812,2.0
10_892,1.0
10_1043,5.0
10_1090,1.0
10_1097,5.0
10_1252,4.0
10_1292,4.0
10_1318,1.0
10_1325,2.0
10_1481,5.0
11_224,4.0
11_311,3.0
11_326,3.0
11_373,2.0
11_403,1.0
11_436,2.0
11_451,2.0
11_626,3.0
11_706,2.0
11_770,3.0
11_892,1.0
11_1043,1.0
11_1051,1.0
11_1332,2.0
11_1373,2.0
11_1396,3.0
11_1480,3.0
11_1485,4.0
12_25,4.0
12_98,4.0
12_134,5.0
12_190,5.0
12_220,5.0
12_242,4.0
12_259,4.0
12_306,4.0
12_319,1.0
12_375,4.0
12_442,1.0
12_525,4.0
12_529,4.0
12_538,4.0
12_575,3.0
12_661,4.0
12_670,5.0
12_690,4.0
12_789,2.0
12_800,5.0
12_816,3.0
12_850,2.0
12_913,5.0
12_963,5.0
12_1022,5.0
12_1047,3.0
12_1072,4.0
12_1192,1.0
12_1288,5.0
12_1310,5.0
12_1325,3.0
12_1331,2.0
12_1360,4.0
12_1376,5.0
12_1388,5.0
12_1486,2.0
12_1504,4.0
12_1522,4.0
12_1524,3.0
13_81,2.0
13_191,1.0
13_242,4.0
13_322,5.0
13_325,5.0
13_364,4.0
13_419,2.0
13_620,1.0
13_787,1.0
13_850,1.0
13_1045,3.0
13_1050,1.0
13_1072,1.0
13_1168,4.0
13_1287,4.0
13_1292,2.0
13_1305,4.0
13_1331,1.0
13_1332,2.0
14_78,4.0
14_100,4.0
14_112,2.0
14_124,4.0
14_129,2.0
14_158,3.0
14_163,4.0
14_229,4.0
14_244,4.0
14_247,1.0
14_281,4.0
14_284,4.0
14_299,4.0
14_302,3.0
14_329,4.0
14_345,1.0
14_374,3.0
14_375,4.0
14_380,3.0
14_404,3.0
14_407,2.0
14_437,4.0
14_448,3.0
14_451,2.0
14_458,2.0
14_591,2.0
14_604,4.0
14_606,4.0
14_635,4.0
14_672,3.0
14_725,5.0
14_734,5.0
14_746,4.0
14_749,4.0
14_758,4.0
14_769,4.0
14_803,3.0
14_807,2.0
14_809,4.0
14_820,3.0
14_850,2.0
14_872,3.0
14_909,4.0
14_1043,3.0
14_1048,4.0
14_1063,4.0
14_1090,3.0
14_1131,3.0
14_1139,3.0
14_1231,2.0
14_1238,5.0
14_1273,1.0
14_1290,3.0
14_1298,3.0
14_1315,2.0
14_1323,4.0
14_1356,3.0
14_1374,4.0
14_1392,3.0
14_1409,1.0
14_1419,3.0
14_1429,4.0
14_1434,5.0
14_1455,3.0
14_1471,4.0
14_1472,4.0
14_1484,1.0
14_1485,3.0
14_1488,4.0
14_1489,4.0
14_1490,3.0
14_1501,3.0
15_23,3.0
15_53,3.0
15_356,2.0
15_373,2.0
15_440,3.0
15_580,1.0
15_603,2.0
15_635,4.0
15_707,1.0
15_725,3.0
15_923,4.0
15_1119,2.0
15_1192,1.0
15_1229,1.0
15_1296,2.0
15_1353,2.0
15_1357,4.0
15_1522,1.0
16_53,1.0
16_98,4.0
16_119,3.0
16_130,4.0
16_215,3.0
16_220,1.0
16_229,5.0
16_263,3.0
16_385,4.0
16_393,3.0
