Number,Mean,Std
50, 0.7572, 0.03302314630207391
123, 0.772, 0.044977595440924195
200, 0.8015, 0.012468499424512124
300, 0.8076, 0.010885273520207912
400, 0.8043, 0.02198826583907185
500, 0.8031, 0.020098746637399946
600, 0.8115, 0.01164982238272338
700, 0.7987, 0.03625783935103059
800, 0.8076, 0.03126542866806108
900, 0.8078, 0.026127159999151415
1000, 0.8117, 0.023547392778343713
1500, 0.8014, 0.03504218730773141
2000, 0.818, 0.023061354994491374
2500, 0.8053, 0.02284195268654009
3000, 0.8128, 0.02762614057492813
3500, 0.8033, 0.02906304033498289
4000, 0.8054, 0.017548738337834657
4500, 0.8048, 0.02259151897743744
5000, 0.8018, 0.019958635745331643
6000, 0.8132, 0.025322097748575204
